Buchungskreis,Marken Name Kurz,Standortname,Slug,Logo Filename,Straße,Hausnummer,PLZ,Stadt,Land Name,Standorttyp Name,Homepage,Breitengrad,Längengrad,Bundesland,Werblicher Anzeige Name,Breitengrad (Komma),Längengrad (Komma),,Statement,Statementgeber,Funktion des Statementgebers,Um wie viel Uhr wird das Licht ausgestellt?,Umsetzung der Maßnahmen bis 15.11.2022?,Änderung der Beleuchtung durch Teilnahme am Projekt?,Details zur Lichtabschaltung
679,G.U.T.,G.U.T. Offenburg KG,gut-offenburg-kg,,Boschstraße,4,77694,Kehl-Sundheim,Germany,ABEX,https://www.gut-gruppe.de/de/unternehmen/offenburg/locations/abex-kehl-sundheim-boschstrasse,48.550.481.966.258.100,7.837.645.266.131.630,BW,ABEX Kehl-Sundheim / Boschstraße,"48,55048197","7,837645266",,Selbstverständlich beteiligen wir uns an dem Projekt „22 Uhr – Licht aus“. Und sparen gleichzeitig Energie und schützen Insekten und Tier.  ,Martin Bitsch,PhG,21 Uhr,Ja,nein,
679,G.U.T.,G.U.T. Offenburg KG,gut-offenburg-kg,,Franz-John-Straße,9,77855,Achern,Germany,ABEX,https://www.gut-gruppe.de/unternehmen/offenburg/standorte/abex-achern-franz-john-strasse,48.631.220.000.000.000,8.056.630.000.000.000,BW,ABEX Achern / Franz-John-Straße,"48,63122","8,05663",,Selbstverständlich beteiligen wir uns an dem Projekt „22 Uhr – Licht aus“. Und sparen gleichzeitig Energie und schützen Insekten und Tier.  ,Martin Bitsch,PhG,21 Uhr,Ja,nein,
679,G.U.T.,G.U.T. Offenburg KG,gut-offenburg-kg,,Am Güterbahnhof,2,77652,Offenburg,Germany,ABEX,https://www.gut-gruppe.de/unternehmen/offenburg/standorte/abex-offenburg-am-gueterbahnhof,48.491.041.800.000.000,7.951.656.600.000.000,BW,ABEX Offenburg / Am Güterbahnhof,"48,4910418","7,9516566",,Selbstverständlich beteiligen wir uns an dem Projekt „22 Uhr – Licht aus“. Und sparen gleichzeitig Energie und schützen Insekten und Tier.  ,Martin Bitsch,PhG,21 Uhr,Ja,nein,
679,G.U.T.,G.U.T. Offenburg KG,gut-offenburg-kg,gut-offenburg-kg-logo.jpg,Magdalena-Rehfuß-Straße,2,77694,Kehl,Germany,HAUPTHAUS,https://www.gut-gruppe.de/de/unternehmen/offenburg,48.582.576.500.000.000,7.846.608.200.000.000,Baden-Württemberg,HAUPTHAUS Kehl,"48,5825765","7,8466082",,Selbstverständlich beteiligen wir uns an dem Projekt „22 Uhr – Licht aus“. Und sparen gleichzeitig Energie und schützen Insekten und Tier.  ,Martin Bitsch,PhG,21 Uhr,Ja,nein,
679,G.U.T.,G.U.T. Offenburg KG,gut-offenburg-kg,,Rheinstraße,221,76532,Baden Baden,Germany,NIEDERLASSUNG,https://www.gut-gruppe.de/unternehmen/offenburg/standorte/niederlassung-baden-baden,48.782.576.900.000.000,8.205.602.000.000.000,Baden-Württemberg,NIEDERLASSUNG Baden Baden,"48,7825769","8,205602",,Selbstverständlich beteiligen wir uns an dem Projekt „22 Uhr – Licht aus“. Und sparen gleichzeitig Energie und schützen Insekten und Tier.  ,Martin Bitsch,PhG,21 Uhr,Ja,nein,
891,G.U.T.,G.U.T. Hennecke KG,gut-hennecke-kg,,Gustav-Becker-Straße,22,21218,Seevetal,Germany,ABEX,https://www.gut-gruppe.de/de/unternehmen/hennecke/locations/abex-seevetal-gustav-becker-strasse,53.404.926.355.940.400,9.978.148.592.412.590,NDS,ABEX Seevetal / Gustav-Becker-Straße,"53,40492636","9,978148592",,"Es fühlt sich gut an, ein kleiner Teil vom großen Ganzen zu sein und dadurch etwas zu bewirken. ",Oliver Hennecke,PhG,20 Uhr,Ja,nein,
891,G.U.T.,G.U.T. Hennecke KG,gut-hennecke-kg,gut-hennecke-kg-logo.jpg,Gustav-Becker-Straße,22,21218,Seevetal,Germany,HAUPTHAUS,https://www.gut-gruppe.de/de/unternehmen/hennecke/locations/haupthaus-seevetal,53.405.027.093.739.800,9.978.215.647.637.960,NDS,HAUPTHAUS Seevetal,"53,40502709","9,978215648",,"Es fühlt sich gut an, ein kleiner Teil vom großen Ganzen zu sein und dadurch etwas zu bewirken. ",Oliver Hennecke,PhG,20 Uhr,Ja,nein,
891,G.U.T.,G.U.T. Hennecke KG,gut-hennecke-kg,,Lüneburger Straße,104,21423,Winsen/Luhe,Germany,ABEX,https://www.gut-gruppe.de/unternehmen/hennecke/standorte/abex-winsenluhe-lueneburger-strasse,53.353.540.000.000.000,10.220.170.000.000.000,NDS,ABEX Winsen/Luhe / Lüneburger Straße,"53,35354","10,22017",,"Es fühlt sich gut an, ein kleiner Teil vom großen Ganzen zu sein und dadurch etwas zu bewirken. ",Oliver Hennecke,PhG,20 Uhr,Ja,nein,
891,G.U.T.,G.U.T. Hennecke KG,gut-hennecke-kg,,Freiburger Straße,96a,21682,Stade,Germany,ABEX,https://www.gut-gruppe.de/unternehmen/hennecke/standorte/abex-stade-freiburger-strasse,53.612.160.000.000.000,9.482.970.000.000.000,Niedersachsen,ABEX Stade / Freiburger Straße,"53,61216","9,48297",,"Es fühlt sich gut an, ein kleiner Teil vom großen Ganzen zu sein und dadurch etwas zu bewirken. ",Oliver Hennecke,PhG,20 Uhr,Ja,nein,
395,G.U.T.,Begau KG,begau-kg,begau-kg-logo.jpg,Böcklerstraße,30,38102,Braunschweig,Germany,HAUPTHAUS,https://www.gut-gruppe.de/de/unternehmen/begau/locations/haupthaus-braunschweig,52.250.684.787.406.200,10.531.916.267.459.100,NDS,HAUPTHAUS Braunschweig,"52,25068479","10,53191627",,,,,20 Uhr,Ja,nein,
